game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7,away_player_10,away_position_10,away_x_10,away_y_10,away_player_8,away_position_8,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_player_8,home_position_8,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,386,4 on 5,0,0,Alex Carpenter,Faceoff Win,t,169,65,Backhand,Marie-Philip Poulin,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,383,4 on 5,0,0,Lee Stecklein,Puck Recovery,t,194,64,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,382,4 on 5,0,0,Lee Stecklein,Dump In/Out,f,196,37,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,t,165,82,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,378,5 on 4,0,0,Sarah Fillier,Play,t,194,66,Indirect,Brianne Jenner,193.0,16.0,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,375,5 on 4,0,0,Brianne Jenner,Play,t,185,7,Direct,Marie-Philip Poulin,139.0,5.0,,,,825,Rebecca Johnston,Center,168.29306342,54.85785858966666,Brianne Jenner,Center,188.80570354000002,70.05320538733334,Erin Ambrose,Defense,135.89503526428572,32.45489361571428,,,,,,,,,Lee Stecklein,Defense,177.21837934666667,47.47817121666667,Maddie Rooney,Goalie,185.14712634999998,44.23663566833333,Amanda Kessel,Center,166.14828566,41.44091484933333,Megan Keller,Defense,183.75806785333333,61.80534255,Kendall Coyne Schofield,Center,153.46010607000002,51.567259998333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,t,161,3,Direct,Rebecca Johnston,143.0,19.0,,,,827,Marie-Philip Poulin,Center,157.37268500333332,74.60690142366667,Rebecca Johnston,Center,153.87673657333335,56.61082763533333,Brianne Jenner,Center,182.31365923333334,60.46506872766667,Erin Ambrose,Defense,129.08026476666666,33.656513055,Sarah Fillier,Center,184.88667156666668,36.57315615458334,Megan Keller,Defense,173.75618691666668,59.55554789833333,Maddie Rooney,Goalie,184.01796188333336,47.045108081,Amanda Kessel,Center,161.77833761,47.203332765333336,Kendall Coyne Schofield,Center,156.07271966000002,66.52528856533334,Lee Stecklein,Defense,176.26395281,44.21581754233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,t,176,3,Direct,Marie-Philip Poulin,130.0,17.0,,,,834,Erin Ambrose,Defense,135.25531471666667,35.14794835833333,Brianne Jenner,Center,180.59749501666664,51.749603533333335,Rebecca Johnston,Center,174.45186333333334,73.719136017,Sarah Fillier,Center,170.70818967666668,51.39214064266666,Marie-Philip Poulin,Center,126.50363347692307,64.14459556999999,Megan Keller,Defense,174.3174855466667,66.88885650133334,Amanda Kessel,Center,164.15092794,44.257641447666664,Kendall Coyne Schofield,Center,151.41681501333332,50.672383880666665,Lee Stecklein,Defense,178.8181389,48.49124127033333,Maddie Rooney,Goalie,184.19610064285715,45.00409804428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,t,130,17,Direct,Erin Ambrose,133.0,55.0,,,,835,Erin Ambrose,Defense,128.43664629,34.64907657733333,Marie-Philip Poulin,Center,126.22298615999999,65.81385615266667,Rebecca Johnston,Center,162.91963717333334,67.54786457,Sarah Fillier,Center,174.30001791111113,46.12510412888889,Brianne Jenner,Center,182.32368250666664,52.03055995766667,Megan Keller,Defense,165.94516005333332,60.127203103333336,Lee Stecklein,Defense,177.39494423333332,47.46889814866667,Kendall Coyne Schofield,Center,138.09390885333332,56.21615676666667,Amanda Kessel,Center,161.65614999666667,43.057412621333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,363,5 on 4,0,0,Erin Ambrose,Play,t,139,55,Direct,Brianne Jenner,176.0,42.0,,,,837,Brianne Jenner,Center,180.26351597,43.49694581433334,Erin Ambrose,Defense,138.92360403,27.008260999666668,Rebecca Johnston,Center,158.71660079666665,44.48562497566666,Sarah Fillier,Center,185.03753476000003,23.89173195,,,,,Lee Stecklein,Defense,171.71919789333333,33.67306889566667,Kendall Coyne Schofield,Center,143.28412386666668,58.71215141444445,Amanda Kessel,Center,154.63722510333335,32.379461948999996,Megan Keller,Defense,173.6837324,47.266954503,Maddie Rooney,Goalie,185.7857744466667,40.22263112233334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
