game_date,16/2/2022
season_year,2021
team_name,Olympic (Women) - Finland
opp_team_name,Olympic (Women) - Switzerland
venue,home
period,2
clock_seconds,183
situation_type,5 on 4
goals_for,1
goals_against,0
player_name,Viivi Vainikka
event,Play
high_danger_unblocked,
assumed_danger_states,0
event_successful,t
side_of_rink,0
x_coord,196.0
y_coord,52.0
distance_to_attacking_net,11.80042372
angle_to_attacking_net,-36.38435182
event_type,Indirect
player_name_2,Elisa Holopainen
x_coord_2,44.0
y_coord_2,4.0
distance_to_net_2,50.70749452
angle_to_attacking_net_2,40.60129465
event_detail_1,
event_detail_2,
event_detail_3,
frame_id_1,1379.0
frame_id_2,1452.0
game_seconds,2217
away_player_1,Sarah Forster
away_position_1,Defense
away_x_1,180.38613088
away_y_1,52.88525049
away_player_2,Andrea Brandli
away_position_2,Goalie
away_x_2,184.51496638
away_y_2,44.81933056
away_player_3,Alina Muller
away_position_3,Center
away_x_3,183.77898843
away_y_3,39.09889504
away_player_4,Shannon Sigrist
away_position_4,Defense
away_x_4,178.39495281
away_y_4,45.66831136
away_player_5,Noemi Ryhner
away_position_5,Center
away_x_5,163.13493269
away_y_5,41.90890693
home_player_1,Elisa Holopainen
home_position_1,Left Wing
home_x_1,157.10184680999998
home_y_1,57.309611329999996
home_player_2,Nelli Laitinen
home_position_2,Defense
home_x_2,179.47890875000002
home_y_2,24.340216069999997
home_player_3,Viivi Vainikka
home_position_3,Center
home_x_3,181.14628475
home_y_3,51.38971329
home_player_4,Ronja Savolainen
home_position_4,Defense
home_x_4,167.59535403
home_y_4,47.59707321
home_player_5,
home_position_5,
home_x_5,
home_y_5,
away_player_6,
away_position_6,
away_x_6,
away_y_6,
home_player_6,
home_position_6,
home_x_6,
home_y_6,
away_player_10,
away_position_10,
away_x_10,
away_y_10,
away_player_7,
away_position_7,
away_x_7,
away_y_7,
away_player_8,
away_position_8,
away_x_8,
away_y_8,
away_player_9,
away_position_9,
away_x_9,
away_y_9,
home_player_10,
home_position_10,
home_x_10,
home_y_10,
home_player_7,
home_position_7,
home_x_7,
home_y_7,
home_player_8,
home_position_8,
home_x_8,
home_y_8,
home_player_9,
home_position_9,
home_x_9,
home_y_9,
away_player_20,
away_position_20,
away_x_20,
away_y_20,
away_player_11,
away_player_21,
away_position_11,
away_position_21,
away_x_11,
away_x_21,
away_y_11,
away_y_21,
away_player_12,
away_player_22,
away_position_12,
away_position_22,
away_x_12,
away_x_22,
away_y_12,
away_y_22,
away_player_13,
away_position_13,
away_x_13,
away_y_13,
away_player_14,
away_position_14,
away_x_14,
away_y_14,
away_player_15,
away_position_15,
away_x_15,
away_y_15,
away_player_16,
away_position_16,
away_x_16,
away_y_16,
away_player_17,
away_position_17,
away_x_17,
away_y_17,
away_player_18,
away_position_18,
away_x_18,
away_y_18,
away_player_19,
away_position_19,
away_x_19,
away_y_19,
home_player_20,
home_position_20,
home_x_20,
home_y_20,
home_player_11,
home_player_21,
home_position_11,
home_position_21,
home_x_11,
home_x_21,
home_y_11,
home_y_21,
home_player_12,
home_player_22,
home_position_12,
home_position_22,
home_x_12,
home_x_22,
home_y_12,
home_y_22,
home_player_13,
home_position_13,
home_x_13,
home_y_13,
home_player_14,
home_position_14,
home_x_14,
home_y_14,
home_player_15,
home_position_15,
home_x_15,
home_y_15,
home_player_16,
home_position_16,
home_x_16,
home_y_16,
home_player_17,
home_position_17,
home_x_17,
home_y_17,
home_player_18,
home_position_18,
home_x_18,
home_y_18,
home_player_19,
home_position_19,
home_x_19,
home_y_19,
O Players,4.0
D Players,5.0
All MST,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.          0.          0.          0.         15.37235474
   0.          0.        ]
 [ 0.          8.49382542  0.          0.          0.          0.
   6.34856421  0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          7.22845725]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 1.67763686  0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.         10.97048112  0.         14.29849959  0.
   0.          0.        ]]"
All_Avg_Edge,9.198545597896869
All_Total_Edge,64.38981918527809
All_Avg_Edges per Player,1.75
O MST,"[[ 0.          0.          0.         14.29849959]
 [ 0.          0.          0.         26.11704954]
 [ 0.          0.          0.         14.07166807]
 [ 0.          0.          0.          0.        ]]"
O_Avg_Edge,18.162405732632894
O_Total_Edge,54.48721719789869
O_Avg_Edges_per_Player,1.5
D MST,"[[ 0.          0.          0.          7.48658804  0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          5.76758581  0.          0.          0.        ]
 [ 0.          6.17861914  0.          0.         15.71627614]
 [ 0.          0.          0.          0.          0.        ]]"
D_Avg_Edge,8.787267283708955
D_Total_Edge,35.14906913483582
D_Avg_Edges per Player,1.6
OD_MST_Ratio,2.066900339574837
All_OCR,0.7142857142857143
high_danger_within_four,0
