game_date,8/2/2022
season_year,2021
team_name,Olympic (Women) - Finland
opp_team_name,Olympic (Women) - Olympic Athletes from Russia
venue,home
period,1
clock_seconds,171
situation_type,5 on 4
goals_for,1
goals_against,0
player_name,Nelli Laitinen
event,Play
high_danger_unblocked,
assumed_danger_states,0
event_successful,t
side_of_rink,1
x_coord,162.0
y_coord,8.0
distance_to_attacking_net,43.8092456
angle_to_attacking_net,141.9529575
event_type,Direct
player_name_2,Minnamari Tuominen
x_coord_2,132.0
y_coord_2,38.0
distance_to_net_2,57.17735566
angle_to_attacking_net_2,94.51398846
event_detail_1,
event_detail_2,
event_detail_3,
frame_id_1,626.0
frame_id_2,653.0
game_seconds,1029
away_player_1,Anna Savonina
away_position_1,Defense
away_x_1,178.2075432
away_y_1,45.593645
away_player_2,Maria Sorokina
away_position_2,Goalie
away_x_2,182.0501464
away_y_2,40.05803597
away_player_3,Maria Batalova
away_position_3,Center
away_x_3,169.891208
away_y_3,30.75768531
away_player_4,Veronika Korzhakova
away_position_4,Center
away_x_4,157.8127627
away_y_4,38.38173417
away_player_5,Oxana Bratishcheva
away_position_5,Center
away_x_5,167.9111507
away_y_5,45.20185367
home_player_1,Viivi Vainikka
home_position_1,Center
home_x_1,179.2505228
home_y_1,31.66245873
home_player_2,Nelli Laitinen
home_position_2,Defense
home_x_2,153.0578234
home_y_2,15.301815
home_player_3,Ronja Savolainen
home_position_3,Defense
home_x_3,179.6511885
home_y_3,41.37771488
home_player_4,Elisa Holopainen
home_position_4,Left Wing
home_x_4,141.1140657
home_y_4,60.44278769
home_player_5,Minnamari Tuominen
home_position_5,Defense
home_x_5,129.9552532
home_y_5,39.00209018
away_player_6,
away_position_6,
away_x_6,
away_y_6,
home_player_6,
home_position_6,
home_x_6,
home_y_6,
away_player_10,
away_position_10,
away_x_10,
away_y_10,
away_player_7,
away_position_7,
away_x_7,
away_y_7,
away_player_8,
away_position_8,
away_x_8,
away_y_8,
away_player_9,
away_position_9,
away_x_9,
away_y_9,
home_player_10,
home_position_10,
home_x_10,
home_y_10,
home_player_7,
home_position_7,
home_x_7,
home_y_7,
home_player_8,
home_position_8,
home_x_8,
home_y_8,
home_player_9,
home_position_9,
home_x_9,
home_y_9,
away_player_20,
away_position_20,
away_x_20,
away_y_20,
away_player_11,
away_player_21,
away_position_11,
away_position_21,
away_x_11,
away_x_21,
away_y_11,
away_y_21,
away_player_12,
away_player_22,
away_position_12,
away_position_22,
away_x_12,
away_x_22,
away_y_12,
away_y_22,
away_player_13,
away_position_13,
away_x_13,
away_y_13,
away_player_14,
away_position_14,
away_x_14,
away_y_14,
away_player_15,
away_position_15,
away_x_15,
away_y_15,
away_player_16,
away_position_16,
away_x_16,
away_y_16,
away_player_17,
away_position_17,
away_x_17,
away_y_17,
away_player_18,
away_position_18,
away_x_18,
away_y_18,
away_player_19,
away_position_19,
away_x_19,
away_y_19,
home_player_20,
home_position_20,
home_x_20,
home_y_20,
home_player_11,
home_player_21,
home_position_11,
home_position_21,
home_x_11,
home_x_21,
home_y_11,
home_y_21,
home_player_12,
home_player_22,
home_position_12,
home_position_22,
home_x_12,
home_x_22,
home_y_12,
home_y_22,
home_player_13,
home_position_13,
home_x_13,
home_y_13,
home_player_14,
home_position_14,
home_x_14,
home_y_14,
home_player_15,
home_position_15,
home_x_15,
home_y_15,
home_player_16,
home_position_16,
home_x_16,
home_y_16,
home_player_17,
home_position_17,
home_x_17,
home_y_17,
home_player_18,
home_position_18,
home_x_18,
home_y_18,
home_player_19,
home_position_19,
home_x_19,
home_y_19,
O Players,5.0
D Players,5.0
All MST,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          9.40294573  0.
   0.          0.          0.        ]
 [ 0.          0.          0.         12.18570762  0.          0.
   0.          0.          0.        ]
 [10.30384389  0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.         22.85271897  0.          0.          0.          0.
   0.          0.          0.        ]
 [ 4.45625162  0.          0.          0.          9.72351454  0.
   0.          0.          0.        ]
 [ 0.          0.         27.66833143  0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.         24.17069726  0.        ]]"
All_Avg_Edge,15.095501383186491
All_Total_Edge,120.76401106549193
All_Avg_Edges per Player,1.7777777777777777
O MST,"[[ 0.         30.88248962  9.72351454  0.          0.        ]
 [ 0.          0.          0.          0.         33.09730795]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.         24.17069726  0.        ]]"
O_Avg_Edge,24.468502343301743
O_Total_Edge,97.87400937320697
O_Avg_Edges_per_Player,1.6
D MST,"[[ 0.          6.73858789  0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.         14.28338062  0.        ]
 [ 0.          0.          0.          0.         12.18570762]
 [10.30384389  0.          0.          0.          0.        ]]"
D_Avg_Edge,10.877880003878492
D_Total_Edge,43.511520015513966
D_Avg_Edges per Player,1.6
OD_MST_Ratio,2.2493815278875604
All_OCR,0.5
high_danger_within_four,0
