game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,high_danger_unblocked,high_danger_within_four,event_successful,x_coord,y_coord,distance_to_attacking_net,event_type,player_name_2,x_coord_2,y_coord_2,distance_to_net_attacking_net_2,event_detail_1,event_detail_2,event_detail_3,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7,away_player_10,away_position_10,away_x_10,away_y_10,away_player_8,away_position_8,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_player_8,home_position_8,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,,0,t,165,82,46.21958459,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,378,5 on 4,0,0,Sarah Fillier,Play,,0,t,194,66,24.02602755,Indirect,Brianne Jenner,193,16,26.80018657,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,375,5 on 4,0,0,Brianne Jenner,Play,,0,t,185,7,35.72464136,Direct,Marie-Philip Poulin,139,5,62.5,,,,825,Rebecca Johnston,Center,168.2930634,54.85785859,Brianne Jenner,Center,188.8057035,70.05320539,Erin Ambrose,Defense,135.8950353,32.45489362,,,,,,,,,Lee Stecklein,Defense,177.2183793,47.47817122,Maddie Rooney,Goalie,185.1471263,44.23663567,Amanda Kessel,Center,166.1482857,41.44091485,Megan Keller,Defense,183.7580679,61.80534255,Kendall Coyne Schofield,Center,153.4601061,51.56726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,,0,t,161,3,48.41745553,Direct,Rebecca Johnston,143,19,51.65510623,,,,827,Marie-Philip Poulin,Center,157.372685,74.60690142,Rebecca Johnston,Center,153.8767366,56.61082764,Brianne Jenner,Center,182.3136592,60.46506873,Erin Ambrose,Defense,129.0802648,33.65651306,Sarah Fillier,Center,184.8866716,36.57315615,Megan Keller,Defense,173.7561869,59.5555479,Maddie Rooney,Goalie,184.0179619,47.04510808,Amanda Kessel,Center,161.7783376,47.20333277,Kendall Coyne Schofield,Center,156.0727197,66.52528857,Lee Stecklein,Defense,176.2639528,44.21581754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,,0,t,176,3,41.58425183,Direct,Marie-Philip Poulin,130,17,64.27480066,,,,834,Erin Ambrose,Defense,135.2553147,35.14794836,Brianne Jenner,Center,180.597495,51.74960353,Rebecca Johnston,Center,174.4518633,73.71913602,Sarah Fillier,Center,170.7081897,51.39214064,Marie-Philip Poulin,Center,126.5036335,64.14459557,Megan Keller,Defense,174.3174855,66.8888565,Amanda Kessel,Center,164.1509279,44.25764145,Kendall Coyne Schofield,Center,151.416815,50.67238388,Lee Stecklein,Defense,178.8181389,48.49124127,Maddie Rooney,Goalie,184.1961006,45.00409804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,,0,t,130,17,64.27480066,Direct,Erin Ambrose,133,55,57.37813172,,,,835,Erin Ambrose,Defense,128.4366463,34.64907658,Marie-Philip Poulin,Center,126.2229862,65.81385615,Rebecca Johnston,Center,162.9196372,67.54786457,Sarah Fillier,Center,174.3000179,46.12510413,Brianne Jenner,Center,182.3236825,52.03055996,Megan Keller,Defense,165.9451601,60.1272031,Lee Stecklein,Defense,177.3949442,47.46889815,Kendall Coyne Schofield,Center,138.0939089,56.21615677,Amanda Kessel,Center,161.65615,43.05741262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,363,5 on 4,0,0,Erin Ambrose,Play,,0,t,139,55,51.53882032,Direct,Brianne Jenner,176,42,13.00961183,,,,837,Brianne Jenner,Center,180.263516,43.49694581,Erin Ambrose,Defense,138.923604,27.008261,Rebecca Johnston,Center,158.7166008,44.48562498,Sarah Fillier,Center,185.0375348,23.89173195,,,,,Lee Stecklein,Defense,171.7191979,33.6730689,Kendall Coyne Schofield,Center,143.2841239,58.71215141,Amanda Kessel,Center,154.6372251,32.37946195,Megan Keller,Defense,173.6837324,47.2669545,Maddie Rooney,Goalie,185.7857744,40.22263112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,362,5 on 4,0,0,Rebecca Johnston,Puck Recovery,,0,t,169,51,21.73131381,,,,,,,,,838,Rebecca Johnston,Center,168.7930357,35.51641607,Erin Ambrose,Defense,139.7992284,25.4701888,Sarah Fillier,Center,187.0855451,23.42193621,Brianne Jenner,Center,177.9260505,40.27913209,,,,,Megan Keller,Defense,177.5650947,42.36323868,Maddie Rooney,Goalie,185.1034162,41.22564272,Amanda Kessel,Center,151.2709019,29.68904157,Lee Stecklein,Defense,179.7032129,36.07123726,Kendall Coyne Schofield,Center,162.6427979,47.7018599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,360,5 on 4,0,0,Rebecca Johnston,Play,,0,t,161,73,41.40350227,Direct,Erin Ambrose,133,50,56.5,,,,840,Rebecca Johnston,Center,165.9301771,14.99098223,,,198.0146696,23.63784718,Brianne Jenner,Center,177.131429,36.9346934,,,,,,,,,Maddie Rooney,Goalie,186.6103889,38.96268949,Kendall Coyne Schofield,Center,168.5383795,47.89811839,Lee Stecklein,Defense,179.1235942,30.12537194,Megan Keller,Defense,180.4080909,41.59493983,Amanda Kessel,Center,161.0985325,31.04431359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,359,5 on 4,0,0,Erin Ambrose,Play,,0,t,133,50,56.5,Direct,Rebecca Johnston,136,62,56.47344509,,,,841,Rebecca Johnston,Center,150.8125235,15.58133125,Brianne Jenner,Center,173.3712208,35.59596527,Marie-Philip Poulin,Center,154.7044249,67.09356536,Erin Ambrose,Defense,133.431485,38.0531275,,,,,Amanda Kessel,Center,155.089796,35.51917531,Megan Keller,Defense,178.4532264,42.90114232,Lee Stecklein,Defense,172.768123,31.92938787,Maddie Rooney,Goalie,184.7447313,40.73413266,Kendall Coyne Schofield,Center,169.3504568,50.84433279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
