game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,frame_id_1,frame_id_2,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7,away_player_10,away_position_10,away_x_10,away_y_10,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9,away_player_8,away_position_8,home_player_8,home_position_8
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,386,4 on 5,0,0,Alex Carpenter,Faceoff Win,t,169,65,Backhand,Marie-Philip Poulin,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,383,4 on 5,0,0,Lee Stecklein,Puck Recovery,t,194,64,,,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,382,4 on 5,0,0,Lee Stecklein,Dump In/Out,f,196,37,,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,t,165,3,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,378,5 on 4,0,0,Sarah Fillier,Play,t,194,19,Indirect,Brianne Jenner,193.0,69.0,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,375,5 on 4,0,0,Brianne Jenner,Play,t,185,78,Direct,Marie-Philip Poulin,139.0,80.0,,,,344.0,370.0,825,Rebecca Johnston,Center,168.42924331333333,54.63735624533333,Brianne Jenner,Center,189.20071594666666,69.85557128066667,Erin Ambrose,Defense,136.05340012307693,32.53668321,,,,,,,,,Lee Stecklein,Defense,177.44401852666667,47.290706857,Kendall Coyne Schofield,Center,153.79447962999998,51.46011170966666,Maddie Rooney,Goalie,185.27318847,44.180213394666666,Amanda Kessel,Center,166.27766971666668,41.39013731133333,Megan Keller,Defense,184.14239503666667,61.68780331633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,t,161,82,Direct,Rebecca Johnston,143.0,66.0,,,,420.0,443.0,827,Rebecca Johnston,Center,154.07328316333331,56.52484068666667,Brianne Jenner,Center,182.23008681000002,60.75967711233333,Marie-Philip Poulin,Center,156.87316024666669,74.51690269133334,Erin Ambrose,Defense,129.05217372857143,33.50036129857143,Sarah Fillier,Center,184.90600959130433,36.557222305217394,Amanda Kessel,Center,161.75232701666667,47.12936394966667,Kendall Coyne Schofield,Center,155.67236118666668,66.37894903566666,Maddie Rooney,Goalie,183.9737440033333,47.08625349666667,Megan Keller,Defense,173.75404792,59.478315656,Lee Stecklein,Defense,176.13732831333334,44.356196576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,t,176,82,Direct,Marie-Philip Poulin,130.0,68.0,,,,605.0,639.0,834,Erin Ambrose,Defense,135.56376186333333,35.124540824,Sarah Fillier,Center,170.53928919666666,51.64355711266667,Rebecca Johnston,Center,174.94784276333334,73.746487403,Brianne Jenner,Center,180.60429565333334,51.718604411,Marie-Philip Poulin,Center,126.53114431666667,64.09704940583333,Kendall Coyne Schofield,Center,151.80286306000002,50.55658861366667,Amanda Kessel,Center,164.24163226666667,44.264977707999996,Lee Stecklein,Defense,178.86704955333335,48.442118738666665,Maddie Rooney,Goalie,184.22254850000002,45.00828163,Megan Keller,Defense,174.75567407666668,66.97976194333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,365,5 on 4,0,0,Marie-Philip Poulin,Play,t,130,68,Direct,Erin Ambrose,133.0,30.0,,,,650.0,670.0,835,Rebecca Johnston,Center,163.19791111333333,67.91416396533333,Marie-Philip Poulin,Center,126.21002440666666,65.788967047,Erin Ambrose,Defense,128.57286897,34.732960651666666,Brianne Jenner,Center,182.28244992,52.059090996,Sarah Fillier,Center,174.23040267000002,46.273022508000004,Megan Keller,Defense,166.11658294,60.42260935233333,Lee Stecklein,Defense,177.43898261333334,47.533172749,Kendall Coyne Schofield,Center,138.54405691666668,55.99439971133334,Amanda Kessel,Center,161.73686065,43.13114041433334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,363,5 on 4,0,0,Erin Ambrose,Play,t,139,30,Direct,Brianne Jenner,176.0,43.0,,,,701.0,718.0,837,Brianne Jenner,Center,180.42750225666666,43.721931897333334,Rebecca Johnston,Center,158.47030897333335,44.912702079666666,Erin Ambrose,Defense,138.73215496,27.103784354000002,Sarah Fillier,Center,185.062175925,24.0038960775,,,,,Kendall Coyne Schofield,Center,142.99175827857144,58.86122701071429,Amanda Kessel,Center,154.86689461333333,32.536664265666666,Lee Stecklein,Defense,171.4847832,33.78189749933333,Megan Keller,Defense,173.38155645333333,47.47636648566667,Maddie Rooney,Goalie,185.76800428666667,40.19658027566666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
