game_date,16/2/2022
season_year,2021
team_name,Olympic (Women) - Finland
opp_team_name,Olympic (Women) - Switzerland
venue,home
period,2
clock_seconds,189
situation_type,5 on 4
goals_for,1
goals_against,0
player_name,Elisa Holopainen
event,Play
high_danger_unblocked,
assumed_danger_states,1
event_successful,t
side_of_rink,0
x_coord,171.0
y_coord,65.0
distance_to_attacking_net,28.81405907
angle_to_attacking_net,38.65980825
event_type,Direct
player_name_2,Minnamari Tuominen
x_coord_2,69.0
y_coord_2,40.0
distance_to_net_2,58.05385431
angle_to_attacking_net_2,87.53188209
event_detail_1,
event_detail_2,
event_detail_3,
frame_id_1,1192.0
frame_id_2,1219.0
game_seconds,2211
away_player_1,Alina Muller
away_position_1,Center
away_x_1,176.00084039
away_y_1,35.96910046
away_player_2,Noemi Ryhner
away_position_2,Center
away_x_2,161.57325759
away_y_2,45.74246414
away_player_3,Shannon Sigrist
away_position_3,Defense
away_x_3,185.99386827
away_y_3,40.9190579
away_player_4,Sarah Forster
away_position_4,Defense
away_x_4,174.4230692
away_y_4,52.96869125
away_player_5,Andrea Brandli
away_position_5,Goalie
away_x_5,188.01649018
away_y_5,46.18592875
home_player_1,Nelli Laitinen
home_position_1,Defense
home_x_1,165.29417579
home_y_1,25.52950785
home_player_2,Ronja Savolainen
home_position_2,Defense
home_x_2,169.38205937
home_y_2,42.64582246
home_player_3,Viivi Vainikka
home_position_3,Center
home_x_3,185.28862546
home_y_3,38.35427368
home_player_4,Elisa Holopainen
home_position_4,Left Wing
home_x_4,165.46894344
home_y_4,63.20545079
home_player_5,Minnamari Tuominen
home_position_5,Defense
home_x_5,131.56006372000002
home_y_5,46.87494686
away_player_6,
away_position_6,
away_x_6,
away_y_6,
home_player_6,
home_position_6,
home_x_6,
home_y_6,
away_player_10,
away_position_10,
away_x_10,
away_y_10,
away_player_7,
away_position_7,
away_x_7,
away_y_7,
away_player_8,
away_position_8,
away_x_8,
away_y_8,
away_player_9,
away_position_9,
away_x_9,
away_y_9,
home_player_10,
home_position_10,
home_x_10,
home_y_10,
home_player_7,
home_position_7,
home_x_7,
home_y_7,
home_player_8,
home_position_8,
home_x_8,
home_y_8,
home_player_9,
home_position_9,
home_x_9,
home_y_9,
away_player_20,
away_position_20,
away_x_20,
away_y_20,
away_player_11,
away_player_21,
away_position_11,
away_position_21,
away_x_11,
away_x_21,
away_y_11,
away_y_21,
away_player_12,
away_player_22,
away_position_12,
away_position_22,
away_x_12,
away_x_22,
away_y_12,
away_y_22,
away_player_13,
away_position_13,
away_x_13,
away_y_13,
away_player_14,
away_position_14,
away_x_14,
away_y_14,
away_player_15,
away_position_15,
away_x_15,
away_y_15,
away_player_16,
away_position_16,
away_x_16,
away_y_16,
away_player_17,
away_position_17,
away_x_17,
away_y_17,
away_player_18,
away_position_18,
away_x_18,
away_y_18,
away_player_19,
away_position_19,
away_x_19,
away_y_19,
home_player_20,
home_position_20,
home_x_20,
home_y_20,
home_player_11,
home_player_21,
home_position_11,
home_position_21,
home_x_11,
home_x_21,
home_y_11,
home_y_21,
home_player_12,
home_player_22,
home_position_12,
home_position_22,
home_x_12,
home_x_22,
home_y_12,
home_y_22,
home_player_13,
home_position_13,
home_x_13,
home_y_13,
home_player_14,
home_position_14,
home_x_14,
home_y_14,
home_player_15,
home_position_15,
home_x_15,
home_y_15,
home_player_16,
home_position_16,
home_x_16,
home_y_16,
home_player_17,
home_position_17,
home_x_17,
home_y_17,
home_player_18,
home_position_18,
home_x_18,
home_y_18,
home_player_19,
home_position_19,
home_x_19,
home_y_19,
O Players,5.0
D Players,5.0
All MST,"[[ 0.          0.          0.          0.         14.95385438  0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          8.40039136
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   2.65997848  0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 9.40142962  0.          0.         11.48796763  0.          0.
   0.          0.          0.        ]
 [ 9.58916069  0.          0.          0.          0.          0.
   0.          0.          0.        ]
 [ 0.          0.          0.         13.60027992  0.          0.
   0.          0.          0.        ]
 [ 0.         30.03455216  0.          0.          0.          0.
   0.          0.          0.        ]]"
All_Avg_Edge,12.515951778985258
All_Total_Edge,100.12761423188206
All_Avg_Edges per Player,1.7777777777777777
O MST,"[[ 0.          0.          0.          0.          0.        ]
 [17.59769922  0.          0.         20.9287074   0.        ]
 [ 0.         16.47532202  0.          0.          0.        ]
 [ 0.          0.          0.          0.         37.63638509]
 [ 0.          0.          0.          0.          0.        ]]"
O_Avg_Edge,23.159528432857595
O_Total_Edge,92.63811373143038
O_Avg_Edges_per_Player,1.6
D MST,"[[ 0.          0.         11.15180187  0.          0.        ]
 [ 0.          0.          0.         14.7423206   0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          0.          0.          0.        ]
 [ 0.          0.          5.64189046 15.19167407  0.        ]]"
D_Avg_Edge,11.681921748687358
D_Total_Edge,46.72768699474943
D_Avg_Edges per Player,1.6
OD_MST_Ratio,1.9825101495359632
All_OCR,1.0
high_danger_within_four,1
